,date_time,gm_open,gm_close,johnson_open,johnson_close,jacobs_open,jacobs_close,albemarle_open,albemarle_close,disney_open,disney_close,att_open,att_close,aa_open,aa_close
0,2019-10-28,37.21,36.64,128.62,129.18,94.33,94.41,62.75,63.74,131.45,130.53,38.3,38.49,31.0,31.36
1,2019-10-29,37.6,38.21,129.7,129.12,93.8,94.29,63.45,63.03,130.5,129.48,38.49,38.06,31.42,30.92
2,2019-10-30,38.26,37.91,133.3,132.84,94.48,94.84,62.86,62.67,129.69,129.6,38.39,38.2,30.77,30.29
3,2019-10-31,37.62,37.16,132.38,132.04,94.53,93.58,62.31,60.74,129.53,129.92,38.21,38.49,30.07,30.06
4,2019-11-01,37.21,37.97,132.05,131.2,94.25,96.07,61.46,64.49,130.99,132.75,38.95,38.95,30.3,30.56
5,2019-11-02,37.21,37.97,132.05,131.2,94.25,96.07,61.46,64.49,130.99,132.75,38.95,38.95,30.3,30.56
6,2019-11-03,37.21,37.97,132.05,131.2,94.25,96.07,61.46,64.49,130.99,132.75,38.95,38.95,30.3,30.56
7,2019-11-04,38.35,38.39,131.8,130.23,96.6,96.99,65.16,67.7,134.12,132.92,39.1,38.89,30.71,30.95
8,2019-11-05,38.61,38.23,130.53,130.42,97.36,97.33,68.37,67.37,132.77,131.45,38.81,39.17,31.0,31.18
9,2019-11-06,38.37,38.42,130.42,130.96,97.35,96.94,66.79,66.72,131.6,131.27,39.25,39.25,31.17,30.96
10,2019-11-07,38.6,38.49,131.73,131.43,97.62,95.71,67.64,71.39,132.35,132.96,39.29,39.42,31.21,30.89
11,2019-11-08,38.42,38.67,131.3,133.0,95.25,94.6,69.48,67.98,140.22,137.96,39.34,39.38,30.72,30.76
12,2019-11-09,38.42,38.67,131.3,133.0,95.25,94.6,69.48,67.98,140.22,137.96,39.34,39.38,30.72,30.76
13,2019-11-10,38.42,38.67,131.3,133.0,95.25,94.6,69.48,67.98,140.22,137.96,39.34,39.38,30.72,30.76
14,2019-11-11,38.6,38.72,132.27,131.98,93.93,95.12,67.49,67.73,137.5,136.74,39.26,39.37,30.54,30.59
15,2019-11-12,38.74,38.59,132.0,131.35,95.02,95.21,67.0,65.31,138.03,138.58,39.35,39.17,30.58,29.52
16,2019-11-13,38.4,37.19,131.04,131.27,94.75,93.22,63.72,65.18,138.58,148.72,39.19,39.16,29.03,28.66
17,2019-11-14,37.1,36.8,131.03,130.96,93.2,94.5,64.37,65.54,148.0,147.15,38.97,38.95,28.75,28.77
18,2019-11-15,37.0,36.89,131.25,134.94,94.86,94.33,66.1,66.14,147.14,144.67,39.13,39.5,28.95,28.86
19,2019-11-16,37.0,36.89,131.25,134.94,94.86,94.33,66.1,66.14,147.14,144.67,39.13,39.5,28.95,28.86
20,2019-11-17,37.0,36.89,131.25,134.94,94.86,94.33,66.1,66.14,147.14,144.67,39.13,39.5,28.95,28.86
21,2019-11-18,36.68,36.62,134.22,134.83,94.18,93.7,66.12,67.1,144.75,147.65,39.3,39.63,28.64,28.6
22,2019-11-19,36.67,36.38,135.0,134.82,93.98,94.51,67.76,66.46,148.18,148.38,38.92,38.0,28.93,29.29
23,2019-11-20,36.21,35.28,135.11,135.94,94.19,94.26,65.71,65.05,148.09,146.93,37.09,37.18,29.14,28.23
24,2019-11-21,35.53,34.67,135.94,136.44,94.44,93.29,65.29,65.13,147.16,146.9,37.03,37.6,28.27,27.93
25,2019-11-22,35.27,35.33,136.65,138.07,93.75,93.38,64.11,64.9,147.21,148.29,37.75,37.75,28.2,28.68
26,2019-11-23,35.27,35.33,136.65,138.07,93.75,93.38,64.11,64.9,147.21,148.29,37.75,37.75,28.2,28.68
27,2019-11-24,35.27,35.33,136.65,138.07,93.75,93.38,64.11,64.9,147.21,148.29,37.75,37.75,28.2,28.68
28,2019-11-25,35.45,35.81,137.06,137.18,95.26,90.75,65.11,65.14,148.8,149.69,37.9,37.26,28.8,28.99
29,2019-11-26,35.7,35.91,136.47,137.17,90.88,91.47,65.15,65.59,151.75,151.64,37.28,37.4,28.95,29.05
30,2019-11-27,36.01,36.14,137.16,137.75,91.75,92.53,65.73,65.5,152.3,151.48,37.44,37.66,29.07,28.95
31,2019-11-28,36.01,36.14,137.16,137.75,91.75,92.53,65.73,65.5,152.3,151.48,37.44,37.66,29.07,28.95
32,2019-11-29,36.05,36.0,137.6,137.49,92.54,92.09,65.32,65.38,151.48,151.58,37.74,37.38,28.92,28.74
33,2019-11-30,36.05,36.0,137.6,137.49,92.54,92.09,65.32,65.38,151.48,151.58,37.74,37.38,28.92,28.74
34,2019-12-01,36.05,36.0,137.6,137.49,92.54,92.09,65.32,65.38,151.48,151.58,37.74,37.38,28.92,28.74
35,2019-12-02,36.01,35.88,137.72,137.36,92.45,89.36,65.67,65.04,152.94,150.62,37.48,37.32,28.79,28.08
36,2019-12-03,35.47,35.53,136.91,137.16,88.07,88.63,63.66,63.65,147.74,148.58,37.2,37.55,27.73,27.29
37,2019-12-04,35.74,35.8,138.5,139.38,88.68,86.29,64.2,62.92,149.3,148.28,37.59,38.1,27.42,27.38
38,2019-12-05,35.6,35.31,139.35,139.56,86.74,85.64,63.27,63.68,148.69,147.44,38.12,38.19,27.46,27.24
39,2019-12-06,35.64,35.54,139.46,140.38,86.12,85.02,64.29,64.3,148.4,147.66,38.29,38.2,27.5,27.73
40,2019-12-07,35.64,35.54,139.46,140.38,86.12,85.02,64.29,64.3,148.4,147.66,38.29,38.2,27.5,27.73
41,2019-12-08,35.64,35.54,139.46,140.38,86.12,85.02,64.29,64.3,148.4,147.66,38.29,38.2,27.5,27.73
42,2019-12-09,35.45,35.38,140.39,140.5,84.79,85.84,64.25,64.72,147.96,146.21,38.12,38.04,27.62,27.49
43,2019-12-10,35.35,35.11,140.8,139.99,85.88,87.13,64.61,65.3,145.26,146.1,38.07,38.06,27.55,27.0
44,2019-12-11,35.13,35.24,140.93,140.98,87.5,88.09,65.34,65.67,147.39,147.59,38.02,38.17,27.08,26.86
45,2019-12-12,35.34,36.1,141.32,141.34,88.26,90.02,65.7,68.02,147.92,147.76,38.2,38.35,27.09,27.72
46,2019-12-13,36.16,35.65,141.1,141.38,90.02,90.03,68.27,66.63,147.43,146.38,38.21,38.26,27.93,27.48
47,2019-12-14,36.16,35.65,141.1,141.38,90.02,90.03,68.27,66.63,147.43,146.38,38.21,38.26,27.93,27.48
48,2019-12-15,36.16,35.65,141.1,141.38,90.02,90.03,68.27,66.63,147.43,146.38,38.21,38.26,27.93,27.48
49,2019-12-16,35.82,36.11,141.73,141.79,90.17,89.27,67.56,66.2,147.59,148.46,38.37,38.59,27.62,27.92
50,2019-12-17,36.2,36.31,143.0,143.56,90.17,89.44,66.3,68.77,148.1,147.73,38.6,38.5,27.97,28.28
51,2019-12-18,36.34,37.31,143.72,143.19,89.17,88.37,68.9,68.9,147.77,146.26,38.6,38.74,28.35,28.0
52,2019-12-19,37.31,37.26,143.89,145.35,88.09,88.54,69.0,69.45,146.18,146.15,38.79,38.93,28.0,28.55
53,2019-12-20,37.54,37.25,146.88,146.06,89.28,90.04,70.37,70.36,147.15,146.88,39.21,39.15,28.67,29.04
54,2019-12-21,37.54,37.25,146.88,146.06,89.28,90.04,70.37,70.36,147.15,146.88,39.21,39.15,28.67,29.04
55,2019-12-22,37.54,37.25,146.88,146.06,89.28,90.04,70.37,70.36,147.15,146.88,39.21,39.15,28.67,29.04
56,2019-12-23,37.39,36.77,145.74,146.44,90.12,90.4,70.36,72.43,145.91,144.68,39.25,39.07,29.25,29.3
57,2019-12-24,36.73,36.58,146.0,145.93,90.42,89.57,72.41,72.32,144.58,145.29,39.1,38.96,29.32,29.18
58,2019-12-25,36.73,36.58,146.0,145.93,90.42,89.57,72.41,72.32,144.58,145.29,39.1,38.96,29.32,29.18
59,2019-12-26,36.59,36.48,145.97,145.83,89.73,90.09,72.33,72.49,145.4,145.7,38.99,39.16,29.32,29.67
60,2019-12-27,36.56,36.56,146.2,145.75,90.23,89.54,72.56,72.01,146.05,145.75,39.24,39.24,29.76,28.44
61,2019-12-28,36.56,36.56,146.2,145.75,90.23,89.54,72.56,72.01,146.05,145.75,39.24,39.24,29.76,28.44
62,2019-12-29,36.56,36.56,146.2,145.75,90.23,89.54,72.56,72.01,146.05,145.75,39.24,39.24,29.76,28.44
63,2019-12-30,36.5,36.44,145.78,145.3,89.33,89.62,72.1,71.93,145.75,143.77,39.27,39.04,28.5,28.3
64,2019-12-31,36.37,36.6,145.1,145.87,89.7,89.83,71.61,73.04,143.67,144.63,39.01,39.08,28.2,28.68
65,2020-01-01,36.37,36.6,145.1,145.87,89.7,89.83,71.61,73.04,143.67,144.63,39.01,39.08,28.2,28.68
66,2020-01-02,37.0,37.38,145.87,145.97,89.9,90.27,73.5,72.61,145.29,148.2,39.16,38.86,28.98,29.09
67,2020-01-03,36.73,36.32,143.5,144.28,89.13,90.89,71.41,71.57,146.4,146.5,38.58,39.06,28.27,27.65
68,2020-01-04,36.73,36.32,143.5,144.28,89.13,90.89,71.41,71.57,146.4,146.5,38.58,39.06,28.27,27.65
69,2020-01-05,36.73,36.32,143.5,144.28,89.13,90.89,71.41,71.57,146.4,146.5,38.58,39.06,28.27,27.65
70,2020-01-06,35.95,35.84,144.0,144.1,90.68,90.72,71.0,71.49,145.54,145.65,38.99,39.1,27.19,27.32
71,2020-01-07,35.75,35.15,144.01,144.98,90.22,91.04,71.65,72.43,145.99,145.7,39.08,39.25,27.56,27.22
72,2020-01-08,35.04,34.65,144.87,144.96,90.91,89.48,70.6,71.18,145.49,145.4,39.33,39.37,27.1,27.84
73,2020-01-09,34.99,35.08,145.76,145.39,89.52,90.89,71.32,72.74,146.47,144.83,38.92,38.8,28.09,27.95
74,2020-01-10,35.15,34.65,145.75,145.06,90.9,90.63,73.01,72.1,145.3,144.62,38.81,38.57,27.96,27.32
75,2020-01-11,35.15,34.65,145.75,145.06,90.9,90.63,73.01,72.1,145.3,144.62,38.81,38.57,27.96,27.32
76,2020-01-12,35.15,34.65,145.75,145.06,90.9,90.63,73.01,72.1,145.3,144.62,38.81,38.57,27.96,27.32
77,2020-01-13,34.69,34.98,145.48,145.7,90.95,91.14,72.95,75.86,144.75,143.88,38.54,38.1,27.32,27.39
78,2020-01-14,35.0,35.15,145.05,146.52,91.1,92.58,76.22,78.18,143.41,145.2,38.06,38.09,27.91,27.53
79,2020-01-15,35.0,35.15,146.4,147.01,92.31,92.77,78.9,80.12,145.71,144.32,37.97,37.87,27.45,27.58
80,2020-01-16,35.21,35.55,147.42,148.2,93.92,93.47,80.36,80.42,145.09,145.12,37.99,38.03,27.79,28.23
81,2020-01-17,35.57,35.6,148.41,149.17,94.0,94.0,80.98,80.9,145.54,144.33,38.05,38.38,28.3,28.4
82,2020-01-18,35.57,35.6,148.41,149.17,94.0,94.0,80.98,80.9,145.54,144.33,38.05,38.38,28.3,28.4
83,2020-01-19,35.57,35.6,148.41,149.17,94.0,94.0,80.98,80.9,145.54,144.33,38.05,38.38,28.3,28.4
84,2020-01-20,35.57,35.6,148.41,149.17,94.0,94.0,80.98,80.9,145.54,144.33,38.05,38.38,28.3,28.4
