Date,#Coronavirus,#covid,#ncov19,#ncov2019,#virus
2020-01-22,7468,0,0,0,5662
2020-01-23,34028,0,0,0,23635
2020-01-24,40687,0,0,0,27243
2020-01-25,40742,0,0,0,36094
2020-01-26,42585,0,0,0,42071
2020-01-27,41878,0,0,0,37772
2020-01-28,43507,0,0,0,41245
2020-01-29,42695,0,0,0,42559
2020-01-30,44000,0,0,0,43378
2020-01-31,43869,0,0,0,43759
2020-02-01,44698,0,0,0,44085
2020-02-02,45197,0,0,0,44621
2020-02-03,45496,0,0,0,44001
2020-02-04,45367,0,0,0,42214
2020-02-05,45225,0,0,0,38181
2020-02-06,45456,0,0,0,36456
2020-02-07,45678,0,0,0,35678
2020-02-08,45828,0,0,0,34576
2020-02-09,45997,0,0,0,38559
2020-02-10,46003,0,0,0,40123
2020-02-11,46400,0,0,0,41992
2020-02-12,47397,0,0,0,37427
2020-02-13,46793,0,0,0,36207
2020-02-14,46924,0,0,0,36495
2020-02-15,46696,0,0,0,31697
2020-02-16,46939,0,0,0,32712
2020-02-17,48278,0,0,0,31876
2020-02-18,47100,0,0,0,33195
2020-02-19,33996,0,0,0,21278
2020-02-20,27799,0,0,0,15162
2020-02-21,86297,0,0,0,65782
2020-02-22,85568,0,0,0,69323
2020-02-23,86279,0,0,0,78234
2020-02-24,85494,0,0,0,85171
2020-02-25,86400,0,0,0,86200
2020-02-26,85499,0,0,6,85499
2020-02-27,80399,0,999,1419,80398
2020-02-28,77591,0,1085,2119,77540
2020-02-29,79697,0,951,1489,79696
2020-03-01,78699,0,861,1208,78584
2020-03-02,79499,0,2613,1994,79495
2020-03-03,77100,0,771,2166,77027
2020-03-04,78298,0,688,2533,78294
2020-03-05,79098,0,834,2194,79093
2020-03-06,79670,0,570,2226,79765
2020-03-07,78674,31293,688,1650,78632
2020-03-08,77293,77183,1303,1993,77294
2020-03-09,78800,78900,2217,1992,78829
2020-03-10,97097,96998,3434,2553,97054
2020-03-11,93898,93691,8935,2486,93899
2020-03-12,91098,91090,12141,3126,91100
2020-03-13,89098,89095,5072,3753,89099
2020-03-14,93000,92999,1773,2697,93000
2020-03-15,97200,97196,1742,3205,97200
2020-03-16,97190,97096,9056,3464,97199
2020-03-17,862855,856498,7366,4204,588992
2020-03-18,293760,283971,1455,2057,284560
2020-03-19,703460,703127,1647,2578,703488
2020-03-20,709041,707870,1847,2721,708753
2020-03-21,700147,700439,1725,2687,699618
2020-03-22,717567,717955,1348,2108,718492
2020-03-23,689554,689758,1052,1727,689655
2020-03-25,254968,254967,160,1042,254896
2020-03-26,716446,715446,490,1795,716130
2020-03-27,564140,563172,688,1187,564604
2020-03-28,690894,690956,663,1022,690657
2020-03-29,714465,713429,444,888,714421
2020-03-30,383989,383959,404,369,383959
2020-04-01,320965,320859,251,753,321213
2020-04-02,626439,625942,562,784,626098
2020-04-03,617745,617028,510,1071,615529
2020-04-04,692962,693337,390,478,669300
2020-04-05,701046,700917,326,679,688914
2020-04-06,692472,691912,229,1459,688235
2020-04-07,710922,711045,254,2080,699096
2020-04-08,398877,399448,278,1150,395820
2020-04-09,314990,314898,225,598,314852
2020-04-10,716666,715975,199,608,699205
2020-04-11,712232,711216,186,753,673285
2020-04-12,717611,717078,161,552,669305
2020-04-13,713866,713875,91,840,682287
